"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2014","601","Appling County","0195","Appling County Middle School",1
"2014","601","Appling County","ALL","All Schools",1
"2014","603","Bacon County","0102","Bacon County Primary School",1
"2014","603","Bacon County","ALL","All Schools",1
"2014","605","Baldwin County","0195","Blandy Hills Elementary School",1
"2014","605","Baldwin County","ALL","All Schools",1
"2014","607","Barrow County","0106","Haymon-Morris Middle School",3
"2014","607","Barrow County","0114","Bear Creek Middle School",2
"2014","607","Barrow County","0189","Kennedy Elementary School",1
"2014","607","Barrow County","0198","Westside Middle School",3
"2014","607","Barrow County","1050","Auburn Elementary School",2
"2014","607","Barrow County","4050","Holsenbeck Elementary School",1
"2014","607","Barrow County","ALL","All Schools",12
"2014","608","Bartow County","0115","Cloverleaf Elementary",1
"2014","608","Bartow County","0190","South Central Middle School",2
"2014","608","Bartow County","0296","Kingston Elementary School",2
"2014","608","Bartow County","0301","Adairsville Middle School",1
"2014","608","Bartow County","0377","Hamilton Crossing Elementary School",1
"2014","608","Bartow County","2052","Emerson Elementary School",1
"2014","608","Bartow County","ALL","All Schools",8
"2014","611","Bibb County","0205","Howard Middle School",4
"2014","611","Bibb County","0305","Rutland Middle School",3
"2014","611","Bibb County","0505","Weaver Middle School",3
"2014","611","Bibb County","0605","Heritage Elementary School",2
"2014","611","Bibb County","1205","Carter Elementary School",2
"2014","611","Bibb County","1305","Lane Elementary School",1
"2014","611","Bibb County","3060","Heard Elementary School",1
"2014","611","Bibb County","ALL","All Schools",16
"2014","614","Brooks County","0193","Quitman Elementary School",1
"2014","614","Brooks County","0197","Brooks County Middle School",1
"2014","614","Brooks County","ALL","All Schools",2
"2014","615","Bryan County","0101","Dr. George Washington Carver Elementary School",2
"2014","615","Bryan County","0199","Richmond Hill Middle School",1
"2014","615","Bryan County","0202","Richmond Hill Primary School",1
"2014","615","Bryan County","0282","Lanier Primary School",1
"2014","615","Bryan County","ALL","All Schools",5
"2014","616","Bulloch County","0100","Mill Creek Elementary School",4
"2014","616","Bulloch County","0107","New Nevils Elementary School",1
"2014","616","Bulloch County","0199","Langston Chapel Elementary School",7
"2014","616","Bulloch County","0299","Langston Chapel Middle School",7
"2014","616","Bulloch County","ALL","All Schools",19
"2014","620","Camden County","0182","Camden Middle School",1
"2014","620","Camden County","0189","Matilda Harris Elementary School",1
"2014","620","Camden County","ALL","All Schools",2
"2014","621","Candler County","0202","Metter Intermediate School",1
"2014","621","Candler County","ALL","All Schools",1
"2014","622","Carroll County","0100","Sharp Creek Elementary School",1
"2014","622","Carroll County","0176","Mount Zion Elementary School",1
"2014","622","Carroll County","ALL","All Schools",2
"2014","623","Catoosa County","0205","Heritage Middle School",1
"2014","623","Catoosa County","3052","Ringgold Elementary School",1
"2014","623","Catoosa County","5050","Graysville Elementary School",1
"2014","623","Catoosa County","ALL","All Schools",3
"2014","624","Charlton County","0112","Bethune Middle School",1
"2014","624","Charlton County","ALL","All Schools",1
"2014","625","Chatham County","0194","Georgetown School",2
"2014","625","Chatham County","0199","West Chatham Middle School",12
"2014","625","Chatham County","1060","Howard Elementary School",9
"2014","625","Chatham County","2062","Largo-Tibet Elementary School",1
"2014","625","Chatham County","4068","Port Wentworth Elementary School",2
"2014","625","Chatham County","4070","Windsor Forest Elementary School",11
"2014","625","Chatham County","ALL","All Schools",37
"2014","628","Cherokee County","0101","Carmel Elementary School",4
"2014","628","Cherokee County","0104","Woodstock Elementary School",6
"2014","628","Cherokee County","0105","William G. Hasty, Sr. Elementary School",6
"2014","628","Cherokee County","0108","Avery Elementary School",1
"2014","628","Cherokee County","0113","Mill Creek Middle School",3
"2014","628","Cherokee County","0116","Indian Knoll Elementary",1
"2014","628","Cherokee County","0181","E. T. Booth Middle School",3
"2014","628","Cherokee County","0182","Johnston Elementary School",4
"2014","628","Cherokee County","0187","Rusk Middle School",2
"2014","628","Cherokee County","0190","Mountain Road Elementary School",1
"2014","628","Cherokee County","0193","Sixes Elementary School",1
"2014","628","Cherokee County","0196","Bascomb Elementary School",2
"2014","628","Cherokee County","0203","Liberty Elementary School",2
"2014","628","Cherokee County","0205","Freedom Middle School",1
"2014","628","Cherokee County","0287","Teasley Middle School",9
"2014","628","Cherokee County","0297","Woodstock Middle School",6
"2014","628","Cherokee County","0309","Little River Elem.",12
"2014","628","Cherokee County","0313","Clark Creek Elementary School",4
