"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2015","601","Appling County","0177","Appling County Elementary School",3
"2015","601","Appling County","0195","Appling County Middle School",1
"2015","601","Appling County","ALL","All Schools",4
"2015","602","Atkinson County","0111","Atkinson County Middle School",3
"2015","602","Atkinson County","0190","Pearson Elementary School",1
"2015","602","Atkinson County","ALL","All Schools",4
"2015","605","Baldwin County","0100","Oak Hill MS",1
"2015","605","Baldwin County","0195","Blandy Hills Elementary School",2
"2015","605","Baldwin County","ALL","All Schools",3
"2015","607","Barrow County","0105","County Line Elementary School",1
"2015","607","Barrow County","0106","Haymon-Morris Middle School",2
"2015","607","Barrow County","0114","Bear Creek Middle School",3
"2015","607","Barrow County","0193","Bramlett Elementary School",1
"2015","607","Barrow County","0198","Westside Middle School",3
"2015","607","Barrow County","0205","Bethlehem Elementary School",3
"2015","607","Barrow County","0289","Russell Middle School",3
"2015","607","Barrow County","0298","Yargo Elementary School",2
"2015","607","Barrow County","4050","Holsenbeck Elementary School",2
"2015","607","Barrow County","5050","Statham Elementary School",1
"2015","607","Barrow County","ALL","All Schools",21
"2015","608","Bartow County","0104","Clear Creek Elementary School",1
"2015","608","Bartow County","0175","White Elementary School",2
"2015","608","Bartow County","0195","Cass Middle School",1
"2015","608","Bartow County","0296","Kingston Elementary School",1
"2015","608","Bartow County","0301","Adairsville Middle School",2
"2015","608","Bartow County","0377","Hamilton Crossing Elementary School",1
"2015","608","Bartow County","2052","Emerson Elementary School",1
"2015","608","Bartow County","ALL","All Schools",9
"2015","609","Ben Hill County","0111","Ben Hill Elementary School",1
"2015","609","Ben Hill County","ALL","All Schools",1
"2015","610","Berrien County","0194","Berrien Middle School",2
"2015","610","Berrien County","ALL","All Schools",2
"2015","611","Bibb County","0205","Howard Middle School",6
"2015","611","Bibb County","0305","Rutland Middle School",8
"2015","611","Bibb County","0383","Williams Elementary School",1
"2015","611","Bibb County","0505","Weaver Middle School",3
"2015","611","Bibb County","0605","Heritage Elementary School",1
"2015","611","Bibb County","1205","Carter Elementary School",7
"2015","611","Bibb County","ALL","All Schools",26
"2015","612","Bleckley County","0197","Bleckley County Elementary School",1
"2015","612","Bleckley County","ALL","All Schools",1
"2015","614","Brooks County","0197","Brooks County Middle School",1
"2015","614","Brooks County","ALL","All Schools",1
"2015","615","Bryan County","0101","Dr. George Washington Carver Elementary School",4
"2015","615","Bryan County","0199","Richmond Hill Middle School",6
"2015","615","Bryan County","0302","Richmond Hill Elementary School",3
"2015","615","Bryan County","ALL","All Schools",13
"2015","616","Bulloch County","0100","Mill Creek Elementary School",6
"2015","616","Bulloch County","0198","William James Middle School",1
"2015","616","Bulloch County","0199","Langston Chapel Elementary School",7
"2015","616","Bulloch County","0299","Langston Chapel Middle School",6
"2015","616","Bulloch County","5054","Sallie Zetterower Elementary School",1
"2015","616","Bulloch County","ALL","All Schools",21
"2015","618","Butts County","0100","Henderson Middle School",2
"2015","618","Butts County","0111","Jackson Elementary School",1
"2015","618","Butts County","ALL","All Schools",3
"2015","620","Camden County","0105","Saint Marys Middle School",2
"2015","620","Camden County","0110","Saint Marys Elementary School",2
"2015","620","Camden County","0182","Camden Middle School",3
"2015","620","Camden County","0195","David L Rainer Elementary School",1
"2015","620","Camden County","0197","Sugarmill Elementary",1
"2015","620","Camden County","ALL","All Schools",9
"2015","622","Carroll County","0115","Providence Elementary School",1
"2015","622","Carroll County","0176","Mount Zion Elementary School",1
"2015","622","Carroll County","0177","Central Middle School",3
"2015","622","Carroll County","0198","Bay Springs Middle School",3
"2015","622","Carroll County","0605","Glanton-Hindsman Elementary",1
"2015","622","Carroll County","5052","Sand Hill Elementary School",1
"2015","622","Carroll County","ALL","All Schools",10
"2015","623","Catoosa County","0205","Heritage Middle School",1
"2015","623","Catoosa County","2552","Lakeview Middle School",1
"2015","623","Catoosa County","5050","Graysville Elementary School",1
"2015","623","Catoosa County","ALL","All Schools",3
"2015","625","Chatham County","0128","Savannah Classical Academy Charter School",1
"2015","625","Chatham County","0197","Garden City Elementary School",1
"2015","625","Chatham County","0199","West Chatham Middle School",21
"2015","625","Chatham County","0211","Godley Station School",1
"2015","625","Chatham County","0311","Coastal Middle School",1
"2015","625","Chatham County","1060","Howard Elementary School",4
"2015","625","Chatham County","2056","Gould Elementary School",2
"2015","625","Chatham County","3064","Pooler Elementary School",1
"2015","625","Chatham County","4058","Hesse School",2
"2015","625","Chatham County","4068","Port Wentworth Elementary School",4
"2015","625","Chatham County","4070","Windsor Forest Elementary School",18
"2015","625","Chatham County","ALL","All Schools",56
"2015","628","Cherokee County","0101","Carmel Elementary School",3
"2015","628","Cherokee County","0104","Woodstock Elementary School",6
"2015","628","Cherokee County","0105","William G. Hasty, Sr. Elementary School",11
"2015","628","Cherokee County","0113","Mill Creek Middle School",7
"2015","628","Cherokee County","0116","Indian Knoll Elementary",3
"2015","628","Cherokee County","0181","E. T. Booth Middle School",7
"2015","628","Cherokee County","0182","Johnston Elementary School",2
"2015","628","Cherokee County","0187","Rusk Middle School",3
"2015","628","Cherokee County","0196","Bascomb Elementary School",1
"2015","628","Cherokee County","0203","Liberty Elementary School",5
"2015","628","Cherokee County","0205","Freedom Middle School",1
"2015","628","Cherokee County","0287","Teasley Middle School",37
"2015","628","Cherokee County","0297","Woodstock Middle School",11
"2015","628","Cherokee County","0305","Creekland Middle School",2
"2015","628","Cherokee County","0309","Little River Elem.",8
"2015","628","Cherokee County","0313","Clark Creek Elementary School",3
"2015","628","Cherokee County","0397","Arnold Mill Elementary School",4
"2015","628","Cherokee County","0409","Canton Elementary",11
"2015","628","Cherokee County","0509","J. Knox Elementary",3
"2015","628","Cherokee County","2054","Oak Grove Elementary School",5
"2015","628","Cherokee County","ALL","All Schools",133
"2015","629","Clarke County","0105","Alps Road Elementary School",2
"2015","629","Clarke County","0112","Judia Jackson Harris Elementary",1
"2015","629","Clarke County","0178","Timothy Elementary School",8
"2015","629","Clarke County","0191","Cleveland Road Elementary School",1
"2015","629","Clarke County","0196","Coile Middle School",6
"2015","629","Clarke County","0205","Gaines Elementary School",3
"2015","629","Clarke County","0296","Burney-Harris-Lyons Middle School",1
"2015","629","Clarke County","0391","Whit Davis Road Elementary School",1
"2015","629","Clarke County","1058","Clarke Middle School",5
"2015","629","Clarke County","1062","Whitehead Road Elementary School",1
"2015","629","Clarke County","2056","Barnett Shoals Elementary School",3
"2015","629","Clarke County","2062","Winterville Elementary School",1
"2015","629","Clarke County","3056","Barrow Elementary School",3
"2015","629","Clarke County","3058","Fowler Drive Elementary School",1
"2015","629","Clarke County","5058","Hilsman Middle School",5
"2015","629","Clarke County","ALL","All Schools",42
"2015","631","Clayton County","0100","M. D. Roberts Middle School",1
"2015","631","Clayton County","0106","Jonesboro Middle School",7
"2015","631","Clayton County","0107","Sequoyah Middle School",22
"2015","631","Clayton County","0117","Morrow Middle School",9
"2015","631","Clayton County","0173","Kilpatrick Elementary School",2
"2015","631","Clayton County","0177","Adamson Middle School",6
"2015","631","Clayton County","0191","Lovejoy Middle School",2
"2015","631","Clayton County","0195","River's Edge Elementary School",1
"2015","631","Clayton County","0197","Kendrick Middle School",5
"2015","631","Clayton County","0200","Roberta T. Smith Elementary School",3
"2015","631","Clayton County","0203","Harper Elementary School",2
"2015","631","Clayton County","0204","Martin Luther King, Jr. Elementary School",9
"2015","631","Clayton County","0207","Rex Mill Middle School",1
"2015","631","Clayton County","0277","Pointe South Middle School",1
"2015","631","Clayton County","0295","Lake Ridge Elementary School",1
"2015","631","Clayton County","0304","James Jackson Elementary School",2
"2015","631","Clayton County","0305","Kemp Elem School",3
"2015","631","Clayton County","0307","Unidos Dual Language Charter School",4
"2015","631","Clayton County","1050","Anderson Elementary School",2
"2015","631","Clayton County","1052","East Clayton Elementary School",1
"2015","631","Clayton County","1058","Lee Street Elementary School",1
"2015","631","Clayton County","1060","Northcutt Elementary School",2
"2015","631","Clayton County","1062","Tara Elementary School",2
"2015","631","Clayton County","2054","Forest Park Middle School",10
"2015","631","Clayton County","2058","Morrow Elementary School",2
"2015","631","Clayton County","2060","Riverdale Elementary School",12
"2015","631","Clayton County","2062","West Clayton Elementary School",1
"2015","631","Clayton County","2554","Fountain Elementary School",6
"2015","631","Clayton County","3050","Babb Middle School",15
"2015","631","Clayton County","3052","North Clayton Middle School",7
"2015","631","Clayton County","3054","Haynie Elementary School",5
"2015","631","Clayton County","3060","Riverdale Middle School",6
"2015","631","Clayton County","4050","Church Street Elementary School",1
"2015","631","Clayton County","4056","Lake City Elementary School",4
"2015","631","Clayton County","4060","Suder Elementary School",2
